"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
184224	"GWERU"	"ZAZAGWERU"
230403	"GLENMORE"	"ZAZAGLENMORE"
121550	"GRABOUW"	"ZAZAGRABOUW"
932439	"GRIEKWASTAD"	"ZAZAGRIEKWASTAD"
30490	"GROBLERSHOOP"	"ZAZAGROBLERSHOOP"
187701	"GROBLERSDAL"	"ZAZAGROBLERSDAL"
8324	"GROOTFONTEIN"	"ZAZAGROOTFONTEIN"
187948	"GA-NKWANE"	"ZAZAGA-NKWANE"
14068	"GABORONE"	"ZAZAGABORONE"
8322	"GARIES"	"ZAZAGARIES"
17186	"GIYANI"	"ZAZAGIYANI"
202717	"GLENCOE"	"ZAZAGLENCOE"
235723	"GOKWE"	"ZAZAGOKWE"
320219	"GRAAFF - REINET"	"ZAZAGRAAFF-REINET"
187594	"GREEN VALLEY"	"ZAZAGREENVALLEY"
185350	"GREYLINGSTAD"	"ZAZAGREYLINGSTAD"
25418	"GROOT MARICO"	"ZAZAGROOTMARICO"
8325	"GRUNAU"	"ZAZAGRUNAU"
740284	"GUTU"	"ZAZAGUTU"
186424	"KWA GRACE"	"ZAZAKWAGRACE"
188080	"LADY GREY"	"ZAZALADYGREY"
192037	"LEEU GAMKA"	"ZAZALEEUGAMKA"
6898	"HARARE"	"ZAZAHARARE"
6417	"HARRISMITH"	"ZAZAHARRISMITH"
6953	"HUMANSDORP"	"ZAZAHUMANSDORP"
6919	"HANOVER"	"ZAZAHANOVER"
7261	"HIBBERDENE"	"ZAZAHIBBERDENE"
8327	"HOPETOWN"	"ZAZAHOPETOWN"
25968	"HARDING"	"ZAZAHARDING"
97503	"HEIDELBERG"	"ZAZAHEIDELBERG"
187589	"HAZYVIEW"	"ZAZAHAZYVIEW"
55181	"HOEDSPRUIT"	"ZAZAHOEDSPRUIT"
6510	"HOWICK"	"ZAZAHOWICK"
240683	"HUGUENOT TUNNEL"	"ZAZAHUGUENOTTUNNEL"
221024	"HWANGE"	"ZAZAHWANGE"
221021	"HALFWAY HOUSE"	"ZAZAHALFWAYHOUSE"
217790	"HAMMANSKRAAL"	"ZAZAHAMMANSKRAAL"
1111941	"HARTBEESFONTEIN"	"ZAZAHARTBEESFONTEIN"
188079	"HERCHELL"	"ZAZAHERCHELL"
121545	"HERMANUS"	"ZAZAHERMANUS"
78241	"HLUHLUWE"	"ZAZAHLUHLUWE"
187702	"MARBLE HALL"	"ZAZAMARBLEHALL"
187590	"MARITE HILL"	"ZAZAMARITEHILL"
250397	"PAVALLIAN HOTEL"	"ZAZAPAVALLIANHOTEL"
187876	"SAULSVILLE - HOSTEL"	"ZAZASAULSVILLE-HOSTEL"
187908	"SILOOM - HOSPITAL"	"ZAZASILOOM-HOSPITAL"
10924	"IDUTYWA"	"ZAZAIDUTYWA"
25845	"IXOPO"	"ZAZAIXOPO"
230420	"IFAFA"	"ZAZAIFAFA"
6389	"JOHANNESBURG"	"ZAZAJOHANNESBURG"
6914	"JAMESTOWN"	"ZAZAJAMESTOWN"
14738	"JANSENVILLE"	"ZAZAJANSENVILLE"
6543	"KOKSTAD"	"ZAZAKOKSTAD"
6412	"KING WILLIAMS TOWN"	"ZAZAKINGWILLIAMSTOWN"
8334	"KIMBERLEY"	"ZAZAKIMBERLEY"
6950	"KNYSNA"	"ZAZAKNYSNA"
6407	"KROONSTAD"	"ZAZAKROONSTAD"
6900	"KLERKSDORP"	"ZAZAKLERKSDORP"
6889	"KURUMAN"	"ZAZAKURUMAN"
6888	"KATHU"	"ZAZAKATHU"
8335	"KOMATIEPOORT"	"ZAZAKOMATIEPOORT"
226441	"KWEKWE"	"ZAZAKWEKWE"
166661	"KADOMA"	"ZAZAKADOMA"
8333	"KENHARDT"	"ZAZAKENHARDT"
8332	"KEIMOES"	"ZAZAKEIMOES"
336239	"KRAAIFONTEIN"	"ZAZAKRAAIFONTEIN"
14737	"KRANSKOP"	"ZAZAKRANSKOP"
187587	"KAALFONTEIN"	"ZAZAKAALFONTEIN"
252068	"KAFUE"	"ZAZAKAFUE"
24399	"KAKAMAS"	"ZAZAKAKAMAS"
193685	"KALOMO"	"ZAZAKALOMO"
8328	"KARASBURG"	"ZAZAKARASBURG"
8329	"KARIBIB"	"ZAZAKARIBIB"
313324	"KATEMBE"	"ZAZAKATEMBE"
8330	"KATIMA MULILO"	"ZAZAKATIMAMULILO"
8331	"KEETMANSHOOP"	"ZAZAKEETMANSHOOP"
239525	"KEMPTON PARK"	"ZAZAKEMPTONPARK"
318919	"KESTELL"	"ZAZAKESTELL"
340044	"KHUBVI"	"ZAZAKHUBVI"
43899	"KLAWER"	"ZAZAKLAWER"
311839	"KOMATIPOORT"	"ZAZAKOMATIPOORT"
337541	"KOMGA"	"ZAZAKOMGA"
15447	"KONGOLA"	"ZAZAKONGOLA"
72982	"KOSTER"	"ZAZAKOSTER"
17190	"KRUGERSDORP"	"ZAZAKRUGERSDORP"
297721	"KWA TSOLO"	"ZAZAKWATSOLO"
363419	"KWADUKUZA"	"ZAZAKWADUKUZA"
6905	"LAINGSBURG"	"ZAZALAINGSBURG"
224920	"LENASIA"	"ZAZALENASIA"
9147	"LADYSMITH"	"ZAZALADYSMITH"
6893	"LOUIS TRICHARDT"	"ZAZALOUISTRICHARDT"
8337	"LUSAKA"	"ZAZALUSAKA"
